ticket_id,airline_flight,name,gender,dob,dop,dod,is_adult,from,to,distance,num_stops,has_loyalty,price_tier,price
IDYY39472,Calisto\CS-585,Mr. Warren Harris,M,2013-11-20,2021-05-30,2021-12-24,0,Libya,Comoros,5138.67,2,1,1,529.89
IDYY36617,Calisto\CS-323,Mr. Alvin Dooley,M,2007-10-01,2021-03-14,2021-04-01,0,Afghanistan,Equatorial Guinea,6952.88,2,0,2,1302.23
IDYY66972,Calisto\CS-916,Mr. Frankie Thrift,M,2007-12-02,2021-04-02,2021-12-25,0,Falkland Islands [Islas Malvinas],Faroe Islands,13478.15,2,1,2,2108.7
IDYY79971,Calisto\CS-859,Ms. Debra Rucker,F,2001-12-02,2021-03-27,2021-08-30,1,Anguilla,Cayman Islands,1848.01,2,0,2,600.59
IDXX93167,Adonis\AS-458,Ms. Sharon Ramirez,F,1995-06-14,2021-12-14,2022-02-11,1,Denmark,Chad,4610.06,0,1,2,1930.875
IDZZ45971,Omega\OG-451,Mr. Tony Hill,M,2019-12-13,2021-01-03,2021-01-09,0,Congo [Republic],Croatia,5046.16,2,1,3,987.9
IDYY06595,Calisto\CS-366,Ms. Tammy Hunter,F,2014-10-20,2021-09-03,2022-06-14,0,Chile,Switzerland,12140.06,1,0,1,1266.01
IDYY78487,Calisto\CS-267,Ms. Tiffany Fanelli,F,1993-11-16,2021-06-16,2021-06-25,1,Lesotho,Christmas Island,8239.84,1,1,2,1554.0
IDYY18844,Calisto\CS-736,Ms. Isabelle Helms,F,1997-01-20,2021-09-25,2021-10-11,1,Slovenia,Kenya,5607.18,2,0,2,1192.24
IDXX50461,Adonis\AS-757,Mr. Marion Fry,M,1993-05-26,2021-08-25,2022-01-05,1,New Zealand,Peru,10990.72,2,1,2,2244.48
IDXX28283,Adonis\AS-499,Mr. Robert Lowder,M,2020-03-28,2021-08-03,2022-06-08,0,Saint Lucia,Gambia,4932.06,1,0,1,795.06
IDZZ34059,Omega\OG-312,Ms. Elizabeth Bessette,F,1981-06-09,2021-06-24,2022-01-10,1,Zambia,Kyrgyzstan,7732.63,0,1,1,882.67
IDYY75323,Calisto\CS-863,Ms. Debbie Toft,F,2012-10-02,2021-09-16,2022-03-29,0,Germany,Bouvet Island,11772.06,1,1,1,1119.2
IDXX55435,Adonis\AS-227,Ms. Pearl Barragan,F,1991-01-06,2021-11-14,2022-02-22,1,Tonga,Mauritius,12667.96,1,1,2,2637.9
IDYY99992,Calisto\CS-669,Mr. Jefferson Nelson,M,1999-07-23,2021-07-01,2022-01-03,1,Italy,Czech Republic,912.53,0,0,1,612.91
IDZZ49495,Omega\OG-992,Ms. Elizabeth Linebarger,F,2008-01-27,2021-11-22,2022-05-28,0,Estonia,Norway,954.14,0,1,2,473.02
IDYY85020,Calisto\CS-826,Ms. Susan Hansen,F,1992-10-11,2021-02-06,2021-10-22,1,Moldova,Guinea,5489.31,2,1,1,659.64
IDXX39324,Adonis\AS-959,Ms. Gladys Mahan,F,2014-01-24,2021-11-28,2021-12-12,0,Cayman Islands,Andorra,7937.76,2,1,3,2325.39
IDXX21461,Adonis\AS-427,Mr. Michael Pagan,M,2009-02-10,2021-07-12,2021-12-16,0,Aruba,Qatar,12391.47,2,1,2,2410.84
IDYY62039,Calisto\CS-501,Ms. Carla Shotkoski,F,1998-04-02,2021-07-31,2022-05-16,1,Nicaragua,Anguilla,2445.89,0,1,1,667.24
IDYY26949,Calisto\CS-845,Mr. Willie Prather,M,2007-09-23,2021-04-14,2022-02-01,0,Martinique,Equatorial Guinea,7957.98,0,1,1,945.66
IDXX28218,Adonis\AS-503,Ms. Ann Judge,F,1985-03-02,2021-10-06,2022-01-06,1,Guadeloupe,Cape Verde,4056.86,2,1,2,1005.85
IDXX44150,Adonis\AS-213,Mr. James Lindsay,M,2021-04-27,2021-10-23,2022-07-31,0,Bhutan,British Indian Ocean Territory,4265.29,1,0,2,1148.19
IDZZ03638,Omega\OG-847,Ms. Karla Pacini,F,1981-07-20,2021-07-09,2022-04-05,1,Réunion,Iraq,6178.56,2,1,1,599.17
IDYY65026,Calisto\CS-636,Ms. Marilyn Lane,F,1989-09-15,2021-04-16,2022-03-07,1,French Polynesia,Mozambique,15955.31,2,1,1,1411.77
IDZZ26063,Omega\OG-336,Ms. Josephine Gannaway,F,1988-10-12,2021-12-13,2022-05-30,1,Venezuela,Guernsey,7614.28,0,0,2,1432.89
IDZZ29619,Omega\OG-425,Mr. Daniel Pennebaker,M,1983-03-01,2021-05-19,2021-09-28,1,Senegal,Bermuda,5451.63,0,1,2,1049.85
IDXX47034,Adonis\AS-211,Mr. Bryan Padilla,M,2004-03-06,2021-07-31,2021-08-11,1,India,Mayotte,5245.76,1,0,2,1446.75
IDYY56078,Calisto\CS-513,Ms. Verdell Russ,F,1980-10-27,2021-12-08,2022-02-20,1,Morocco,Falkland Islands [Islas Malvinas],10615.65,2,1,2,1792.83
IDXX17019,Adonis\AS-073,Mr. Charles Betterman,M,1984-01-20,2021-01-27,2021-05-30,1,Northern Mariana Islands,Antarctica,13271.87,1,0,2,3054.96
IDYY22727,Calisto\CS-732,Ms. Claudia Elliott,F,1992-06-22,2021-04-08,2021-07-29,1,France,Ukraine,2185.35,2,0,2,973.2450000000001
IDYY13628,Calisto\CS-777,Ms. Jeanette Laws,F,2013-05-21,2021-06-16,2022-01-29,0,Myanmar [Burma],Macau,1813.79,0,1,2,645.47
IDYY92771,Calisto\CS-154,Ms. Sylvia Transue,F,2018-12-22,2021-10-28,2022-04-02,0,Kosovo,Singapore,9336.64,0,1,2,1719.68
IDXX67232,Adonis\AS-677,Ms. Doris Morgan,F,1994-07-27,2021-09-07,2021-11-07,1,Bangladesh,Dominica,14707.58,1,0,2,3351.24
IDXX64765,Adonis\AS-426,Ms. Melissa Golding,F,2019-04-18,2021-12-02,2022-06-09,0,Tonga,Pakistan,13569.76,2,0,1,1549.95
IDXX78023,Adonis\AS-305,Ms. Josie Carroll,F,1981-07-22,2021-07-20,2021-12-11,1,Djibouti,Slovenia,4622.03,0,1,2,1279.22
IDZZ49851,Omega\OG-431,Mr. Ricky Morant,M,2000-09-04,2021-12-15,2022-03-07,1,United States,Thailand,13886.72,2,1,2,1768.27
IDYY20943,Calisto\CS-687,Mr. Stephen Larson,M,2016-08-14,2021-12-19,2022-02-24,0,Iran,Réunion,5963.5,1,1,2,1135.57
IDXX84902,Adonis\AS-486,Ms. Virginia Morris,F,2001-08-01,2021-10-22,2021-11-05,1,Greece,Uganda,4329.64,1,0,2,1257.93
IDZZ84660,Omega\OG-788,Ms. Ruth Shipp,F,1996-03-21,2021-12-01,2022-10-28,1,Ukraine,Pakistan,3791.45,0,1,1,672.67
IDXX19491,Adonis\AS-719,Mr. Eric Rizzuti,M,2003-08-25,2021-07-21,2022-02-17,1,Iran,Lesotho,7410.22,1,1,1,1022.04
IDYY87020,Calisto\CS-616,Ms. Janell Case,F,1993-02-06,2021-10-03,2022-06-16,1,Marshall Islands,U.S. Virgin Islands,13259.36,1,0,1,1484.15
IDYY74596,Calisto\CS-192,Mr. Xavier Vanderkam,M,2018-08-08,2021-05-06,2022-02-24,0,Turks and Caicos Islands,Mayotte,13305.67,1,0,1,1359.89
IDZZ73973,Omega\OG-088,Ms. Margaret Mujalli,F,2016-03-27,2021-06-13,2021-10-06,0,Iceland,Turks and Caicos Islands,6128.59,0,1,2,1031.53
IDXX69518,Adonis\AS-571,Ms. Marietta Carolin,F,2017-03-29,2021-12-15,2022-07-19,0,Tunisia,Bolivia,9540.43,0,0,1,2045.565
IDZZ96020,Omega\OG-795,Ms. Maureen Correia,F,1994-11-08,2021-07-18,2022-04-23,1,Samoa,Christmas Island,8911.62,0,0,2,1584.44
IDZZ14126,Omega\OG-299,Mr. Daryl Hale,M,1984-03-01,2021-10-04,2022-08-03,1,Suriname,Liechtenstein,7870.16,2,0,1,774.88
IDYY25382,Calisto\CS-451,Ms. Kathleen Mathes,F,2021-04-13,2021-10-25,2022-04-26,0,Swaziland,Timor-Leste,9998.18,0,1,1,1093.52
IDXX61497,Adonis\AS-266,Ms. Viola Williams,F,2003-04-16,2021-05-02,2021-10-19,1,Kiribati,Western Sahara,16557.67,1,0,2,3711.55
IDXX24001,Adonis\AS-752,Mr. Gene Soto,M,2016-04-18,2021-11-15,2022-03-06,0,Saint Pierre and Miquelon,Qatar,9201.06,0,0,2,2231.99
IDYY23169,Calisto\CS-664,Ms. Lilla Kirkham,F,2011-01-29,2021-02-19,2021-09-17,0,Thailand,Greece,7990.13,2,0,1,820.8
IDYY40888,Calisto\CS-855,Ms. Rosie Melchor,F,2021-04-24,2021-12-25,2022-11-07,0,Hungary,Netherlands,1161.41,0,0,1,517.79
IDXX89159,Adonis\AS-920,Mr. Jerry Russo,M,1998-06-19,2021-01-21,2021-06-05,1,Guadeloupe,Singapore,17473.55,2,1,2,3416.74
IDXX64998,Adonis\AS-835,Mr. Mike Battey,M,1981-09-17,2021-08-04,2021-09-07,1,Maldives,Solomon Islands,9742.54,2,1,2,2012.69
IDZZ11784,Omega\OG-176,Ms. Mary Sikes,F,1988-04-16,2021-06-24,2021-07-21,1,Guinea,Iraq,6023.77,1,0,2,1131.92
IDZZ61033,Omega\OG-276,Mr. William Mcmanus,M,2007-07-11,2021-11-08,2022-04-25,0,Svalbard and Jan Mayen,Saint Helena,11536.7,2,1,2,1412.9
IDZZ41843,Omega\OG-130,Ms. Ellen Gamboa,F,1996-12-09,2021-02-25,2021-08-11,1,Greece,Tunisia,1240.58,0,1,2,604.81
IDXX41274,Adonis\AS-473,Ms. Leigh Costello,F,2019-11-26,2021-07-23,2022-03-11,0,Liberia,Heard Island and McDonald Islands,10121.09,1,0,1,1312.49
IDZZ77092,Omega\OG-255,Mr. Carl Young,M,1996-11-14,2021-07-21,2022-02-09,1,Cook Islands,Congo [Republic],17600.36,2,1,1,1220.58
IDZZ12654,Omega\OG-426,Mr. Alvin Gibbs,M,2011-06-02,2021-03-26,2021-12-03,0,Senegal,Niue,17370.69,2,0,1,1233.63
IDXX01146,Adonis\AS-217,Mr. Jackie Jordan,M,2010-12-12,2021-03-24,2021-06-16,0,Guinea,Mayotte,6572.51,1,0,2,1620.93
IDXX03726,Adonis\AS-019,Ms. Shirley Foote,F,1991-08-12,2021-07-27,2022-02-16,1,Latvia,Zambia,7799.5,2,1,1,969.73
IDXX69942,Adonis\AS-843,Mr. Raymond Alsip,M,1994-01-14,2021-06-18,2022-04-06,1,Botswana,French Guiana,8936.83,0,1,1,1253.26
IDZZ82017,Omega\OG-413,Mr. Ryan Evans,M,2013-04-30,2021-01-08,2021-07-04,0,Algeria,Gaza Strip,3167.18,0,1,2,712.22
IDZZ01340,Omega\OG-422,Mr. Alexander Chandler,M,2018-12-05,2021-12-12,2022-11-08,0,Hong Kong,Martinique,15880.1,2,0,1,1142.47
IDYY55017,Calisto\CS-190,Ms. Paula Mccain,F,2003-01-31,2021-09-09,2022-07-30,1,Uruguay,Andorra,10200.72,2,1,2,1732.89
IDXX51977,Adonis\AS-647,Ms. Barbara Deharo,F,1994-05-22,2021-11-22,2022-04-27,1,Slovenia,Suriname,8248.06,2,1,2,1749.86
IDXX44365,Adonis\AS-595,Ms. Denna Germain,F,2011-02-06,2021-10-02,2022-06-28,0,Thailand,Vanuatu,8040.33,1,0,1,1105.53
IDYY39184,Calisto\CS-476,Ms. Clara Mitchell,F,2006-05-03,2021-10-22,2022-01-20,0,Slovenia,Liberia,5005.44,2,0,2,980.52
IDXX03977,Adonis\AS-356,Ms. Dana Ferkovich,F,2015-12-08,2021-11-16,2022-05-14,0,Zambia,Turks and Caicos Islands,11535.68,1,1,2,1177.85
IDYY71175,Calisto\CS-824,Ms. Jennifer Campbell,F,2021-05-03,2021-11-06,2022-10-03,0,India,Brazil,14791.54,2,0,1,1362.7
IDXX24412,Adonis\AS-911,Mr. Courtney Gifford,M,2015-03-19,2021-11-06,2022-09-22,0,United Kingdom,Lithuania,1721.26,1,0,1,477.47
IDXX95927,Adonis\AS-668,Ms. Erica Mendez,F,1984-01-05,2021-03-11,2021-10-27,1,Libya,Kiribati,17402.72,2,1,1,1838.37
IDZZ88883,Omega\OG-520,Ms. Helga Brown,F,1995-04-06,2021-05-15,2021-05-23,1,Cambodia,Bermuda,14922.46,1,1,3,2788.17
IDXX91671,Adonis\AS-305,Mr. Rupert Cathey,M,2007-06-26,2021-01-08,2021-10-27,0,Spain,Trinidad and Tobago,6512.91,1,1,1,856.57
IDYY37247,Calisto\CS-497,Ms. Ashley Cabanilla,F,2012-05-04,2021-05-26,2021-12-18,0,Heard Island and McDonald Islands,Switzerland,12720.39,2,0,2,1107.775
IDZZ31099,Omega\OG-992,Mr. Tommy Hodson,M,2007-06-08,2021-08-03,2022-07-01,0,Austria,Latvia,1244.94,2,1,1,238.56
IDYY74446,Calisto\CS-748,Ms. Hazel Mccoy,F,2015-07-28,2021-12-12,2022-02-02,0,Aruba,Cook Islands,10500.55,2,1,2,1665.58
IDZZ02552,Omega\OG-004,Ms. Melissa Mitchell,F,1994-04-22,2021-03-25,2021-04-26,1,Mayotte,Togo,5453.45,0,0,2,1176.92
IDYY19306,Calisto\CS-815,Ms. Sheri Savage,F,1991-07-18,2021-04-02,2021-06-03,1,Mali,France,3241.1,1,0,2,943.62
IDYY38420,Calisto\CS-590,Mr. Robert Geyer,M,1996-09-16,2021-11-28,2021-12-03,1,Grenada,Luxembourg,7385.68,0,0,2,1720.19
IDZZ47659,Omega\OG-546,Mr. Willie Scroggs,M,2008-10-10,2021-12-30,2022-11-03,0,Nigeria,Portugal,3770.52,1,0,1,521.11
IDXX47784,Adonis\AS-048,Ms. Veronica Proctor,F,2012-10-09,2021-08-18,2022-07-16,0,Nicaragua,Central African Republic,11588.52,2,0,2,2520.73
IDZZ67042,Omega\OG-372,Ms. Carol Stanley,F,1994-09-30,2021-03-22,2022-02-13,1,Nigeria,Falkland Islands [Islas Malvinas],9361.92,2,1,2,1277.43
IDXX99433,Adonis\AS-300,Mr. Ronald Barron,M,1999-03-27,2021-12-12,2022-11-18,1,Samoa,El Salvador,9668.54,2,0,1,1261.98
IDZZ77234,Omega\OG-275,Ms. Billie Clark,F,2019-12-11,2021-10-27,2022-02-10,0,Azerbaijan,Kiribati,14555.31,1,0,2,2043.65
IDZZ98600,Omega\OG-885,Ms. Tamara Taylor,F,2014-12-06,2021-11-29,2022-06-15,0,Palau,Iraq,9644.68,0,0,1,985.97
IDYY52465,Calisto\CS-737,Mr. Herbert Rivers,M,1997-05-03,2021-11-19,2022-08-26,1,Tonga,Netherlands,16591.15,2,1,1,1460.34
IDZZ50364,Omega\OG-876,Ms. Kathryn Scroggins,F,1998-10-02,2021-08-07,2021-10-15,1,Dominica,Anguilla,360.9,0,1,2,503.14
IDXX91432,Adonis\AS-932,Ms. Tracy Ramirez,F,2001-05-09,2021-07-16,2022-01-26,1,Netherlands,Germany,372.22,1,1,1,393.55
IDYY72686,Calisto\CS-289,Ms. Elizabeth Hoover,F,1986-04-02,2021-03-04,2022-01-15,1,Sweden,Argentina,13257.3,1,0,2,3806.31
IDZZ04696,Omega\OG-855,Ms. Brenda Mattera,F,1987-08-04,2021-06-23,2022-04-13,1,Eritrea,Swaziland,4728.54,0,0,1,798.93
IDXX67390,Adonis\AS-989,Mr. Thomas Kieffer,M,2007-12-10,2021-10-17,2022-03-17,0,Gabon,Montenegro,4905.76,0,0,2,1375.76
IDXX33786,Adonis\AS-657,Mr. Billy Drayton,M,1986-04-23,2021-08-12,2021-09-26,1,Russia,Nepal,4006.85,2,0,3,1506.58
IDZZ15844,Omega\OG-486,Ms. Deborah Osborne,F,2005-10-19,2021-06-05,2021-11-17,1,Tunisia,Vatican City,928.19,0,0,2,632.2
IDXX62860,Adonis\AS-197,Ms. Sara Wright,F,1982-06-22,2021-12-13,2022-11-13,1,Trinidad and Tobago,Netherlands,7485.15,0,1,2,1790.08
IDZZ63388,Omega\OG-434,Mr. Jack Mitchell,M,2014-03-21,2021-02-20,2021-10-04,0,Algeria,Nigeria,2234.29,1,1,1,391.34
IDYY41898,Calisto\CS-213,Ms. Miranda Ingle,F,2003-09-29,2021-10-16,2022-08-03,1,Mayotte,Anguilla,12362.05,2,0,1,1288.62
IDYY51046,Calisto\CS-034,Ms. Nancy Martinez,F,1987-08-27,2021-12-07,2022-11-30,1,Kuwait,Lebanon,1211.34,0,0,1,632.7
IDYY29787,Calisto\CS-568,Ms. Lois Tarpey,F,2021-01-10,2021-11-26,2022-02-22,0,Estonia,Uzbekistan,3345.19,2,1,2,634.08
IDXX32984,Adonis\AS-915,Mr. Julian Billingsley,M,2002-10-09,2021-12-08,2022-03-07,1,Uruguay,Kazakhstan,15002.2,1,1,2,3059.02
IDYY78728,Calisto\CS-007,Ms. Antonia Phillips,F,2002-07-14,2021-05-10,2021-08-06,1,Equatorial Guinea,Indonesia,11540.21,1,1,2,2027.47
IDXX55326,Adonis\AS-817,Mr. Raymond Hollis,M,2002-08-01,2021-08-31,2022-04-27,1,Cocos [Keeling] Islands,Laos,3617.32,0,1,1,770.62
IDZZ25504,Omega\OG-123,Mr. Eli Case,M,1989-01-25,2021-10-26,2022-02-19,1,Saint Helena,Bahrain,8583.19,2,0,2,1326.31
IDZZ64009,Omega\OG-181,Mr. Gary Daniel,M,2011-11-15,2021-02-08,2021-10-21,0,Montserrat,Laos,15632.16,2,1,1,1014.0
IDYY80770,Calisto\CS-879,Mr. Roberto Schaefer,M,1995-06-09,2021-08-23,2021-11-08,1,Mauritania,Maldives,9284.45,2,0,2,1783.42
IDXX41163,Adonis\AS-622,Mr. Henry Dickens,M,2010-04-22,2021-05-31,2021-11-30,0,Falkland Islands [Islas Malvinas],Tunisia,11660.84,2,0,1,1359.8
IDXX84657,Adonis\AS-603,Mr. Charles Lester,M,2008-08-06,2021-09-13,2022-03-07,0,Nicaragua,French Guiana,3665.47,1,0,2,519.225
IDZZ55841,Omega\OG-140,Ms. Diana Welch,F,2010-03-22,2021-10-05,2021-10-31,0,Uruguay,Grenada,5023.98,1,0,3,1206.64
IDYY04524,Calisto\CS-793,Mr. Jeffrey Croteau,M,1987-09-04,2021-09-14,2021-09-29,1,Belarus,Nicaragua,10321.45,1,1,2,1864.8
IDYY32682,Calisto\CS-596,Ms. Martha Garland,F,1991-01-23,2021-11-01,2022-08-08,1,Ghana,Norfolk Island,17420.44,2,1,1,1518.01
IDZZ40939,Omega\OG-905,Ms. Jeanne Bailey,F,2008-04-09,2021-05-19,2021-10-28,0,Isle of Man,Japan,9356.29,2,0,2,1310.16
IDXX64366,Adonis\AS-737,Ms. Deborah Bryant,F,1999-05-26,2021-08-13,2022-04-29,1,Malawi,New Zealand,12770.88,1,0,1,1674.11
IDYY24556,Calisto\CS-511,Mr. Lee Nava,M,2016-07-12,2021-03-20,2021-12-17,0,Turkmenistan,Côte d'Ivoire,7345.1,2,0,1,766.55
IDZZ77569,Omega\OG-392,Ms. Leah Antolin,F,1986-12-14,2021-12-03,2022-09-21,1,Belgium,Saudi Arabia,4571.32,1,0,1,682.2
